12	38	Mg	34074#	503#
13	38	Al	16209.859	374.461
14	38	Si	-4170.299	104.793
15	38	P	-14621.563	72.581
16	38	S	-26861.203	7.172
17	38	Cl	-29798.103	0.098
18	38	Ar	-34714.821	0.195
19	38	K	-28800.755	0.195
20	38	Ca	-22058.499	0.194
21	38	Sc	-4249#	200#
22	38	Ti	10870#	300#
12	39	Mg	42275#	513#
13	39	Al	20650#	400#
14	39	Si	2320.352	135.532
15	39	P	-12774.634	112.645
16	39	S	-23162.667	50
17	39	Cl	-29800.205	1.732
18	39	Ar	-33242.19	5
19	39	K	-33807.1901	0.00458
20	39	Ca	-27282.702	0.596
21	39	Sc	-14172.709	24
22	39	Ti	2200#	200#
12	40	Mg	48350#	500#
13	40	Al	27590#	400#
14	40	Si	5429.679	345.119
15	40	P	-8114.37	153.582
16	40	S	-22837.846	3.982
17	40	Cl	-27557.813	32.066
18	40	Ar	-35039.89464	0.00224
19	40	K	-33535.492	0.056
20	40	Ca	-34846.384	0.021
21	40	Sc	-20523.335	2.828
22	40	Ti	-8850.384	160
23	40	V	12170#	300#
13	41	Al	33420#	500#
14	41	Si	12119.668	554.705
15	41	P	-4979.767	120.163
16	41	S	-19008.577	4.099
17	41	Cl	-27307.189	68.723
18	41	Ar	-33067.505	0.347
19	41	K	-35559.54331	0.0038
20	41	Ca	-35137.89	0.138
21	41	Sc	-28642.412	0.083
22	41	Ti	-15697.537	27.945
23	41	V	320#	200#
13	42	Al	40100#	600#
14	42	Si	16470#	500#
15	42	P	1009.74	314.379
16	42	S	-17637.746	2.794
17	42	Cl	-24831.767	59.616
18	42	Ar	-34422.675	5.775
19	42	K	-35022.026	0.106
20	42	Ca	-38547.245	0.149
21	42	Sc	-32121.153	0.169
22	42	Ti	-25104.674	0.277
23	42	V	-7620#	196#
24	42	Cr	6730#	400#
13	43	Al	47020#	800#
14	43	Si	23101#	596#
15	43	P	4679.826	554.705
16	43	S	-12195.459	4.97
17	43	Cl	-24159.508	61.858
18	43	Ar	-32009.808	5.31
19	43	K	-36575.389	0.41
20	43	Ca	-38408.822	0.228
21	43	Sc	-36188.102	1.863
22	43	Ti	-29321.082	7.245
23	43	V	-17916.356	42.849
24	43	Cr	-1970#	400#
14	44	Si	28513#	596#
15	44	P	10450#	500#
